2000/09/01;09:00;CAD;H;BoC Interest Rate Decision (Aug);;5.75%;;;5.75%;
2000/09/01;09:00;AUD;H;Employment Change (Aug);;4.20K;;;74.30K;
2000/09/01;09:00;AUD;H;RBA Interest Rate Decision (Aug);;6.25%;;;6.00%;
2000/09/01;09:00;AUD;H;Retail Sales (MoM) (Aug);;5.30%;;;-10.60%;
2000/09/01;09:00;NZD;H;RBNZ Interest Rate Decision (Aug);;6.50%;;;6.50%;
2000/09/01;09:00;EUR;H;CPI (YoY) (Aug);;2.30%;;;2.00%;
2000/09/01;09:00;EUR;H;ECB Interest Rate Decision (Aug);;4.50%;;;4.25%;
2000/09/01;12:30;USD;H;Nonfarm Payrolls (Aug);;-15K;;;179K;
2000/09/01;12:30;USD;H;Unemployment Rate (Aug);;4.1%;;;4%;
2000/10/01;09:00;GBP;H;Claimant Count Change (Sep);;-15.60K;;;-14.30K;
2000/10/01;09:00;GBP;H;CPI (YoY) (Sep);;1.00%;;;0.60%;
2000/10/01;09:00;GBP;H;BoE Interest Rate Decision (Sep);;6.00%;;;6.00%;
2000/10/01;09:00;GBP;H;Manufacturing Production (MoM) (Sep);;-1.00%;;;1.60%;
2000/10/01;09:00;GBP;H;Retail Sales (MoM) (Sep);;-0.30%;;;1.70%;
2000/10/01;09:00;USD;H;CB Consumer Confidence (Sep);;142.50;;;140.80;
2000/10/01;09:00;USD;H;Core CPI (MoM) (Sep);;0.20%;;;0.20%;
2000/10/01;09:00;USD;H;Core Retail Sales (MoM) (Sep);;1.50%;;;0.10%;
2000/10/01;09:00;USD;H;Crude Oil Inventories (Sep);;-0.54M;;;0.99M;
2000/10/01;09:00;USD;H;Existing Home Sales (Sep);;5.29M;;;5.17M;
2000/10/01;09:00;USD;H;ISM Manufacturing PMI (Sep);;49.70;;;49.90;
2000/10/01;09:00;USD;H;ISM Non-Manufacturing PMI (Sep);;56.70;;;57.60;
2000/10/01;09:00;USD;H;New Home Sales (Sep);;912.00K;;;848.00K;
2000/10/01;09:00;USD;H;Philadelphia Fed Manufacturing Index (Sep);;5.50;;;17.00;
2000/10/01;09:00;USD;H;Retail Sales (MoM) (Sep);;1.70%;;;0.10%;
2000/10/01;09:00;CAD;H;Core CPI (MoM) (Sep);;0.20%;;;0.20%;
2000/10/01;09:00;CAD;H;Core Retail Sales (MoM) (Sep);;1.20%;;;-0.40%;
2000/10/01;09:00;CAD;H;Employment Change (Sep);;41.90K;;;19.90K;
2000/10/01;09:00;CAD;H;GDP (MoM) (Sep);;0.20%;;;0.40%;
2000/10/01;09:00;CAD;H;BoC Interest Rate Decision (Sep);;5.75%;;;5.75%;
2000/10/01;09:00;AUD;H;Employment Change (Sep);;-11.10K;;;4.20K;
2000/10/01;09:00;AUD;H;RBA Interest Rate Decision (Sep);;6.25%;;;6.25%;
2000/10/01;09:00;AUD;H;Retail Sales (MoM) (Sep);;1.90%;;;5.30%;
2000/10/01;09:00;NZD;H;RBNZ Interest Rate Decision (Sep);;6.50%;;;6.50%;
2000/10/01;09:00;EUR;H;CPI (YoY) (Sep);;2.80%;;;2.00%;
2000/10/01;09:00;EUR;H;ECB Interest Rate Decision (Sep);;4.50%;;;4.50%;
2000/10/01;12:30;USD;H;Unemployment Rate (Sep);;3.9%;;;4.1%;
2000/10/06;12:30;USD;H;Nonfarm Payrolls (Sep);;135K;;;-15K;
2000/11/01;09:00;GBP;H;Claimant Count Change (Oct);;-0.10K;;;-15.60K;
2000/11/01;09:00;GBP;H;CPI (YoY) (Oct);;1.00%;;;1.00%;
2000/11/01;09:00;GBP;H;BoE Interest Rate Decision (Oct);;6.00%;;;6.00%;
2000/11/01;09:00;GBP;H;Manufacturing Production (MoM) (Oct);;0.50%;;;-1.00%;
2000/11/01;09:00;GBP;H;Retail Sales (MoM) (Oct);;0.40%;;;-0.30%;
2000/11/01;09:00;USD;H;CB Consumer Confidence (Oct);;135.80;;;142.50;
2000/11/01;09:00;USD;H;Core CPI (MoM) (Oct);;0.20%;;;0.20%;
2000/11/01;09:00;USD;H;Core Retail Sales (MoM) (Oct);;0.00%;;;1.50%;
2000/11/01;09:00;USD;H;Crude Oil Inventories (Oct);;-0.72M;;;-0.54M;
2000/11/01;09:00;USD;H;Existing Home Sales (Oct);;5.25M;;;5.29M;
2000/11/01;09:00;USD;H;ISM Manufacturing PMI (Oct);;48.70;;;49.70;
